model,model_label,count,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std,best_dev_f1_mean,best_dev_f1_std,best_epoch_mean,best_epoch_std,elapsed_mean,elapsed_std,params_mean,group,text_backbone,text_backbone_label,audio_backbone,audio_backbone_label,video_backbone,video_backbone_label,d_model,num_experts,text_cfg
variant4,,5,0.4808,0.0606,0.4496,0.0526,0.4328,0.0546,9.2,4.5497,345.48,79.4992,1024,by_model_text_dmodel_experts,TFE-C,,,,,,256.0,8.0,
variant4,,5,0.4815,0.0566,0.4491,0.0551,0.4381,0.0552,8.2,3.7014,349.54,62.9276,1024,by_model_text_dmodel_experts,TFE-C,,,,,,256.0,16.0,
variant4,,5,0.4712,0.0656,0.442,0.0653,0.4461,0.0511,15.0,7.2111,457.8,126.8939,1024,by_model_text_dmodel_experts,TFE-C,,,,,,512.0,8.0,
variant4,,5,0.4789,0.0515,0.4474,0.0481,0.4376,0.0476,14.0,4.4159,495.34,133.8762,1024,by_model_text_dmodel_experts,TFE-C,,,,,,512.0,16.0,
variant4,,5,0.4654,0.0698,0.4337,0.0671,0.4234,0.0682,12.8,6.9785,750.88,234.9644,1024,by_model_text_dmodel_experts,TFE-C,,,,,,1024.0,8.0,
variant4,,5,0.4864,0.0561,0.4501,0.0653,0.4275,0.0614,10.8,3.7014,767.22,133.6058,1024,by_model_text_dmodel_experts,TFE-C,,,,,,1024.0,16.0,
variant4,,1,0.6207,,0.5966,,0.5726,,7.0,,331.7,,1024,by_model_text_dmodel_experts,TFE-D,,,,,,256.0,8.0,
variant4,,1,0.6057,,0.5901,,0.5725,,14.0,,539.5,,1024,by_model_text_dmodel_experts,TFE-D,,,,,,256.0,16.0,
variant4,,1,0.6226,,0.6032,,0.5772,,8.0,,364.4,,1024,by_model_text_dmodel_experts,TFE-D,,,,,,512.0,8.0,
variant4,,1,0.6084,,0.5944,,0.5646,,10.0,,417.0,,1024,by_model_text_dmodel_experts,TFE-D,,,,,,512.0,16.0,
variant4,,1,0.6065,,0.5895,,0.5542,,15.0,,885.7,,1024,by_model_text_dmodel_experts,TFE-D,,,,,,1024.0,8.0,
variant4,,1,0.6241,,0.6031,,0.5651,,8.0,,670.9,,1024,by_model_text_dmodel_experts,TFE-D,,,,,,1024.0,16.0,
variant4,,1,0.5667,,0.5485,,0.5292,,7.0,,308.7,,1024,by_model_text_dmodel_experts,TFE-E,,,,,,256.0,8.0,
variant4,,1,0.5828,,0.5478,,0.5233,,7.0,,321.1,,1024,by_model_text_dmodel_experts,TFE-E,,,,,,256.0,16.0,
variant4,,1,0.5943,,0.5631,,0.5364,,6.0,,293.2,,1024,by_model_text_dmodel_experts,TFE-E,,,,,,512.0,8.0,
variant4,,1,0.61,,0.563,,0.5351,,5.0,,278.2,,1024,by_model_text_dmodel_experts,TFE-E,,,,,,512.0,16.0,
variant4,,1,0.5146,,0.4981,,0.4822,,25.0,,984.0,,1024,by_model_text_dmodel_experts,TFE-E,,,,,,1024.0,8.0,
variant4,,1,0.518,,0.5045,,0.4968,,21.0,,1126.8,,1024,by_model_text_dmodel_experts,TFE-E,,,,,,1024.0,16.0,
