run_id,model,text_cfg,audio_cfg,video_cfg,d_model,num_experts,tfe_dim,afe_dim,vfe_dim,best_epoch,best_dev_f1,test_acc,test_f1,elapsed_sec,text_backbone,audio_backbone,video_backbone,text_cfg_only,audio_cfg_only,video_cfg_only,text_backbone_label,audio_backbone_label,video_backbone_label,model_label
variant1_TFE-B_cfg3_AFE-B_cfg3_VFE-A_cfg3_d256_e16,variant1,TFE-B_cfg3,AFE-B_cfg3,VFE-A_cfg3,256,16,1024,1024,2048,5,0.5122,0.5487,0.523,615.8,TFE-B,AFE-B,VFE-A,cfg3,cfg3,cfg3,RoBERTa-Large,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-B_cfg3_AFE-B_cfg3_VFE-A_cfg3_d256_e8,variant1,TFE-B_cfg3,AFE-B_cfg3,VFE-A_cfg3,256,8,1024,1024,2048,3,0.4987,0.533,0.511,424.7,TFE-B,AFE-B,VFE-A,cfg3,cfg3,cfg3,RoBERTa-Large,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-B_cfg3_AFE-B_cfg3_VFE-A_cfg3_d512_e16,variant1,TFE-B_cfg3,AFE-B_cfg3,VFE-A_cfg3,512,16,1024,1024,2048,4,0.4992,0.567,0.5176,811.6,TFE-B,AFE-B,VFE-A,cfg3,cfg3,cfg3,RoBERTa-Large,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-B_cfg3_AFE-B_cfg3_VFE-A_cfg3_d512_e8,variant1,TFE-B_cfg3,AFE-B_cfg3,VFE-A_cfg3,512,8,1024,1024,2048,8,0.4951,0.5115,0.4952,907.0,TFE-B,AFE-B,VFE-A,cfg3,cfg3,cfg3,RoBERTa-Large,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-C_cfg1_AFE-B_cfg1_VFE-A_cfg1_d1024_e8,variant1,TFE-C_cfg1,AFE-B_cfg1,VFE-A_cfg1,1024,8,1024,1024,2048,7,0.448,0.5119,0.4791,1714.5,TFE-C,AFE-B,VFE-A,cfg1,cfg1,cfg1,DeBERTa-v3,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-C_cfg1_AFE-B_cfg1_VFE-A_cfg1_d256_e16,variant1,TFE-C_cfg1,AFE-B_cfg1,VFE-A_cfg1,256,16,1024,1024,2048,7,0.4694,0.4996,0.4768,730.5,TFE-C,AFE-B,VFE-A,cfg1,cfg1,cfg1,DeBERTa-v3,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-C_cfg1_AFE-B_cfg1_VFE-A_cfg1_d256_e8,variant1,TFE-C_cfg1,AFE-B_cfg1,VFE-A_cfg1,256,8,1024,1024,2048,5,0.453,0.4881,0.4721,510.1,TFE-C,AFE-B,VFE-A,cfg1,cfg1,cfg1,DeBERTa-v3,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-C_cfg1_AFE-B_cfg1_VFE-A_cfg1_d512_e16,variant1,TFE-C_cfg1,AFE-B_cfg1,VFE-A_cfg1,512,16,1024,1024,2048,6,0.4515,0.4943,0.4715,989.4,TFE-C,AFE-B,VFE-A,cfg1,cfg1,cfg1,DeBERTa-v3,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-C_cfg1_AFE-B_cfg1_VFE-A_cfg1_d512_e8,variant1,TFE-C_cfg1,AFE-B_cfg1,VFE-A_cfg1,512,8,1024,1024,2048,4,0.4521,0.4977,0.4757,724.6,TFE-C,AFE-B,VFE-A,cfg1,cfg1,cfg1,DeBERTa-v3,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-C_cfg1_AFE-B_cfg1_VFE-B_cfg1_d1024_e8,variant1,TFE-C_cfg1,AFE-B_cfg1,VFE-B_cfg1,1024,8,1024,1024,1792,3,0.4579,0.5096,0.4654,1300.5,TFE-C,AFE-B,VFE-B,cfg1,cfg1,cfg1,DeBERTa-v3,WavLM-Large,VFE-B-1792,MoE Mamba Experts
variant1_TFE-C_cfg1_AFE-B_cfg1_VFE-B_cfg1_d256_e16,variant1,TFE-C_cfg1,AFE-B_cfg1,VFE-B_cfg1,256,16,1024,1024,1792,6,0.4546,0.5015,0.4642,678.7,TFE-C,AFE-B,VFE-B,cfg1,cfg1,cfg1,DeBERTa-v3,WavLM-Large,VFE-B-1792,MoE Mamba Experts
